"estdepartureairport","estarrivalairport","flights"
LEMG,EKBI,8
KTPA,KRDU,34
KVNY,KLAS,56
KXLL,KPHL,3
KJFK,KBED,3
KDCA,KDTW,30
KMCO,KBWI,36
KCLE,"08FA",2
KEWR,KHWO,30
KSTS,KSTS,6
OLBA,LEMD,3
EDDF,UUEE,34
LOWW,LGAV,23
KPVC,RI07,1
KLSV,"2CA4",1
CYHM,CYYC,25
EBBR,LIPZ,19
KAPA,KTEB,4
KDFW,KBUR,13
NTTE,NTAA,11
EDGS,ELLX,1
KHPN,MI29,1
KPHL,NC37,11
KIWA,KE77,2
EGPH,EGLC,43
EDDB,EHGG,1
EDNK,EDMA,1
LTFJ,EGSS,31
KSBA,KPDX,1
KSTL,"71MI",6
KORD,"3IS8",1
EFTP,ESSA,18
EG32,EG32,31
EDDT,LFPO,11
LFPO,EDDT,14
KLAX,TX22,1
KLAX,KLAX,26
KCPS,"4IS5",2
MD09,KHOU,1
KBOS,MD43,17
"8TA7",KT67,3
EGAA,EGKK,39
KDAL,KPHL,11
LPPT,EDDM,21
KPDX,KOAK,75
KTEB,KAGC,13
KFDK,KORL,1
CYCW,CYXX,1
LFRS,LEPA,4
EFHK,EFKU,27
RCTP,WBSB,4
CYYZ,KEWR,50
XS18,"31TA",1
LEPA,EGNX,20
EDSB,UUWW,3
LFMV,LSGL,1
EGKK,EVRA,14
KRYY,GA76,1
KLOM,KAGC,4
KDFW,KRNO,18
NZGB,NZAA,22
LKTB,EDDH,1
RCKH,VMMC,27
KLGB,KPRC,2
XS49,"8TS5",1
KEWR,PN01,1
EDTQ,EDTZ,1
LIPU,LIDW,1
KMSP,"4IL3",3
VIDX,VIDX,1
EGKK,EDDB,12
KPDK,KSRQ,1
RJTK,RJDC,1
K7L8,IN39,2
KRVS,"03OK",2
KPDK,KGYH,4
KBKL,KABE,1
EFHK,VHHH,14
LSZM,LGIR,7
KORD,II85,1
VOBL,OTHH,12
RJAK,KLAX,1
CT52,CT52,2
"8IN9",KCFJ,1
SBGL,SBST,14
DAAG,LFBO,5
LEMG,LFQD,1
KTUS,KLAX,11
KOWD,KDXR,1
EGGD,LTBS,4
KISM,KDAL,1
"59FD","04FL",1
OMDB,RJTL,1
KIAD,KMSN,2
KBNA,KDAL,38
KGMU,SC03,1
EKYT,EKYT,17
KPAO,"9CL2",4
"1LL4","1LL4",2
KMTN,MD48,3
UUEE,K06C,1
LFPG,EGGD,14
EBAW,EHRD,1
KTUS,KTUS,32
RI20,KTEB,7
KTYS,KJNX,1
KSEA,CYYC,39
KTPA,KATL,3
LIMC,LIMC,10
"6VA4",KROA,3
KXLL,"9PA5",1
"25GA",KSFO,3
CYXU,CPN8,2
LFPG,LFML,26
LFJL,LFST,3
KMER,KVCB,1
"8OH4",PN16,1
KMPO,"49PA",1
EGUO,EGUO,11
KIAH,KGLE,1
KECP,KATL,1
LEZL,LEZL,5
KOQN,KGAI,1
OMDB,LFLL,6
KSTL,KSFO,13
KHYI,KHOU,2
KMRB,KFDK,3
"68CA","98CL",2
EGGD,EPMO,4
LKPR,LFBO,2
KMYV,KAUN,2
RJTT,KMSP,6
LFQL,LFAQ,1
BIKF,EPWA,2
CYWG,CYYZ,12
LEBL,EVRA,9
KECP,KCEW,1
EBBR,EDDL,1
LFKJ,LSZM,5
ESSB,ESSV,6
"2OA4",KDCA,1
EGKK,ENBR,6
K4SD,K4SD,1
EGNL,EGBJ,14
LKBU,LIRF,1
KOPF,KHHR,3
KDCA,KMSN,4
